veehouderijIdentificatie;naamOverheid;veehouderijAdres;veehouderijDatumVergunning;stalIdentificatie;stalLengte;stalBreedte;stalHoogte;stalOrientatie;stalIdentificatiePandBAG;stalX;stalY;bronIdentificatie;bronHoogte;bronDiameter;bronUittreesnelheid;bronX;bronY;huisvestingssysteem;aanvullendeTechniek;aantalDieren;emissiefactorPM10;reductiefactorPM10;eigenFactorToelichting;opmerking;tijdstipRegistratie
37;naamOverheid;ADRES;1-1-1990;756;81.6;61.1;4.6;117;stalIdentificatiePandBAG;166755;459495;815;8.0;0.85;4.0;166742;459499;E2.11.2.2;Overig;22000;65;0.45;"strooiselschuiven en warmtewisselaar 31%; samen 45% reductie";opmerking;2022-01-13T03:17:09.452Z
37;naamOverheid;ADRES;1-1-1990;3480;81.6;61.1;4.6;117;stalIdentificatiePandBAG;166755;459495;3707;6.9;0.84;6.9;166772;459489;E2.11.2.2;Overig;31500;65;0.45;strooiselschuiven en warmtewisselaar 31%, SAMEN 45%;opmerking;2022-01-13T03:17:09.452Z
37;naamOverheid;ADRES;1-1-1990;4128;34.9;20.9;4.8;117;stalIdentificatiePandBAG;166822;459551;4503;7.7;0.5;4.0;166822;459551;A4.100;;320;33;;;opmerking;2022-01-13T03:17:09.452Z
37;naamOverheid;ADRES;1-1-1990;4129;48.6;17.65;4.8;117;stalIdentificatiePandBAG;166812;459526;4504;7.7;0.5;4.0;166812;459526;A4.100;;320;33;;;opmerking;2022-01-13T03:17:09.452Z
37;naamOverheid;ADRES;1-1-1990;4130;48.6;17.85;4.8;117;stalIdentificatiePandBAG;166800;459510;4505;7.7;0.5;4.0;166800;459510;A4.100;;320;33;;;opmerking;2022-01-13T03:17:09.452Z
44;naamOverheid;ADRES;1-1-1990;777;61.0;37.0;6.6;14;stalIdentificatiePandBAG;164109;458542;837;10.0;0.5;0.4;164109;458542;A1.100.1;;161;118;;;opmerking;2022-01-13T03:17:09.555Z
44;naamOverheid;ADRES;1-1-1990;778;43.0;16.0;4.5;14;stalIdentificatiePandBAG;164127;458509;838;6.0;0.5;0.4;164127;458509;A3.100;;148;38;;;opmerking;2022-01-13T03:17:09.555Z
44;naamOverheid;ADRES;1-1-1990;4131;75.3;32.3;5.2;173;stalIdentificatiePandBAG;164182;458593;4506;8.0;3.99;1.87;164212;458580;E2.11.1;E7.6;35000;65;0.31;;opmerking;2022-01-13T03:17:09.555Z
44;naamOverheid;ADRES;1-1-1990;4132;70.0;18.5;4.5;173;stalIdentificatiePandBAG;164183;458552;4507;3.0;3.39;0.4;164214;458560;E5.14;;20000;22;;;opmerking;2022-01-13T03:17:09.555Z
255;naamOverheid;ADRES;1-1-1990;1620;190.0;25.0;3.6;95;stalIdentificatiePandBAG;165929;459962;1708;1.5;2.25;5.0;165929;459962;E1.5.2;;31000;2;;;opmerking;2022-01-13T03:17:09.559Z
255;naamOverheid;ADRES;1-1-1990;1621;190.0;40.0;3.8;95;stalIdentificatiePandBAG;165949;459961;1709;1.5;4.12;7.8;165949;459961;E2.5.5;;55000;23;;;opmerking;2022-01-13T03:17:09.559Z
255;naamOverheid;ADRES;1-1-1990;1622;45.0;24.0;7.4;45;stalIdentificatiePandBAG;166025;459968;1710;1.5;0.5;0.4;166025;459968;A1.100.2;;160;148;;;opmerking;2022-01-13T03:17:09.559Z
265;naamOverheid;ADRES;1-1-1990;1662;135.33;17.1;4.87;167;stalIdentificatiePandBAG;170519;461069;2872;4.52;0.95;0.4;170558;461063;E2.11.2.1;;55000;65;;;opmerking;2022-01-13T03:17:09.651Z
265;naamOverheid;ADRES;1-1-1990;1663;35.0;30.0;3.5;76;stalIdentificatiePandBAG;170473;461021;1753;5.5;0.5;4.0;170473;461021;A4.100;;150;33;;;opmerking;2022-01-13T03:17:09.651Z
370;naamOverheid;ADRES;1-1-1990;1969;98.5;27.8;7.01;171;stalIdentificatiePandBAG;172590;462201;2072;6.0;5.86;0.4;172639;462193;E2.11.2.1;;69228;65;;;opmerking;2022-01-13T03:17:09.655Z
370;naamOverheid;ADRES;1-1-1990;1970;109.16;40.8;6.35;81;stalIdentificatiePandBAG;172590;462201;2073;11.2;2.26;1.27;172685;462214;D3.2.7.2.1;;3978;153;;;opmerking;2022-01-13T03:17:09.655Z
434;naamOverheid;ADRES;1-1-1990;7292;93.4;21.4;6.1;106;stalIdentificatiePandBAG;170361;462242;8055;6.8;2.47;4.0;170346;462267;E1.14;E7.6;44720;30;0.31;;opmerking;2022-01-13T03:17:09.657Z
434;naamOverheid;ADRES;1-1-1990;7293;86.6;38.8;7.7;16;stalIdentificatiePandBAG;170446;462256;8056;5.6;3.5;4.0;170467;462245;E2.11.2.1;Overig;42000;65;0.3;combinatie van strooiselschuiven (E 7.10, 20%) en warmtewisselaar (E 7.7, 13%);opmerking;2022-01-13T03:17:09.657Z
